Nome|Difficolta|Costo|Diete|Ingredienti
Mozzarella in carrozza|Facile|Basso|Vegetariano; |Pane bianco in cassetta; Mozzarella di bufala; Sale fino; Uova; Farina 00; Pangrattato; Olio di semi di girasole; 

Involtini di melanzane alla mediterranea|Molto facile||Senza glutine; Vegetariano; |Melanzane; Mozzarella; Passata di pomodoro; Olive taggiasche; Basilico; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Cornetti salati|Facile|Basso||Pasta Sfoglia; Pancetta arrotolata; Edamer; Semi di sesamo; Salmone affumicato; Robiola; Prezzemolo; Basilico; Semi di sesamo nero; Tuorli; Latte intero; Acqua; 

Impepata di cozze|Molto facile|Basso|Senza glutine; Senza lattosio; Light; |Cozze; Pepe nero; Prezzemolo; Limoni; 

Torta rustica salata|Facile|Basso||Acqua; Farina 00; Burro; Sale fino; Speck; Patate; Fontina; Timo; Paprika; Sale fino; Pepe nero; Latte intero; 

Plumcake salato|Facile|Basso||Farina 00; Uova; Pancetta affumicata; Panna fresca liquida; Latte intero; Olio extravergine d'oliva; Sale fino; Pepe nero; Lievito istantaneo per preparazioni salate; Grana Padano DOP; Groviera; 

Strudel con ricotta e spinaci|Facile|Basso|Vegetariano; |Pasta Sfoglia; Spinaci; Ricotta vaccina; Uvetta; Pinoli; Grana Padano DOP; Uova; Noce moscata; Burro; Sale fino; Pepe nero; Uova; 

Rotolo di frittata farcito|Facile|Basso||Uova; Grana Padano DOP; Sale fino; Pepe nero; Olio extravergine d'oliva; Prosciutto crudo; Rucola; Scamorza (provola); Pesto di rucola; Rucola; Grana Padano DOP; Pecorino romano; Pinoli; Aglio; Olio extravergine d'oliva; Sale fino; 

Pizzette di sfoglia|Molto facile|Basso|Senza lattosio; Vegetariano; |Pasta Sfoglia; Passata di pomodoro; Origano; Olio extravergine d'oliva; 

Rotolini di zucchine con crudo e robiola|Facile|||Zucchine; Robiola; Prosciutto crudo; Erba cipollina; Pepe nero; Sale fino; 

Torta salata di melanzane|Molto facile|Basso|Vegetariano; |Pasta Sfoglia; Melanzane; Scamorza (provola); Parmigiano Reggiano DOP; Pomodori secchi sott'olio; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Polpette di spinaci e ricotta|Molto facile|Basso|Vegetariano; |Spinaci; Ricotta vaccina; Grana Padano DOP; Pangrattato; Olio extravergine d'oliva; Aglio; Sale fino; Pepe nero; Uova; Pangrattato; Sale fino; Pepe nero; 

Melanzane al forno|Molto facile|Molto basso|Senza glutine; Vegetariano; |Melanzane; Pomodorini datterini; Scamorza affumicata; Olive nere; Frutti di cappero ; Origano; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Involtini primavera|Facile|Medio||Sfoglie per involtini; Cavolo cappuccio; Carote; Cipolle bianche; Vino di riso; Olio di semi di arachide; Sale fino; Pepe bianco; Albumi; Olio di semi di arachide; 

Cozze gratinate|Facile|Medio|Senza lattosio; |Cozze; Pangrattato; Grana Padano DOP; Aglio; Scorza di limone; Prezzemolo; Olio extravergine d'oliva; Pepe nero; 

Fiori di zucca in pastella|Facile|Basso|Vegetariano; |Fiori di zucca; Sale fino; Olio di semi di arachide; Acqua; Farina 00; Lievito di birra fresco; Sale fino; Zucchero; Acqua; Farina 00; Tuorli; 

Pasta Sfoglia|Difficile|||Farina 00; Acqua; Sale fino; Burro; Farina 00; 

Frittelle di zucchine|Facile|Molto basso|Vegetariano; Senza lattosio; |Zucchine; Parmigiano Reggiano DOP; Farina 00; Lievito di birra secco; Acqua; Sale fino; Olio di semi di arachide; Sale fino; 

Vitello tonnato|Facile|Elevato|Senza glutine; Senza lattosio; |Vitello; Sedano; Carote; Cipolle dorate; Aglio; Vino bianco; Acqua; Alloro; Chiodi di garofano; Olio extravergine d'oliva; Pepe nero in grani; Sale fino; Uova; Tonno sott'olio; Acciughe sott'olio; Capperi sotto sale; Frutti di cappero ; Brodo di carne; 

Tempura|Media|Medio|Senza lattosio; |Gamberi; Carote; Zucchine; Acqua gassata; Farina di riso; Farina 00; Ghiaccio; Olio di semi di girasole; 

Muffin salati con ricotta e zucchine|Facile|Basso|Vegetariano; |Farina 00; Latte intero; Lievito istantaneo per preparazioni salate; Olio extravergine d'oliva; Ricotta vaccina; Grana Padano DOP; Pomodorini ciliegino; Pepe nero; Sale fino; Olio di semi di girasole; Zucchine; Uova; 

Frittata di asparagi|Facile|Medio|Senza glutine; Vegetariano; |Asparagi; Uova; Porri; Pepe nero; Grana Padano DOP; Scamorza affumicata; Erba cipollina; Burro; Olio extravergine d'oliva; Sale fino; 

Insalata di polpo prezzemolata|Facile|Medio|Senza glutine; Senza lattosio; |Polpo; Carote; Sedano; Aglio; Alloro; Pepe nero in grani; Sale fino; Prezzemolo; Succo di limone; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Asparagi in sfoglia con crudo|Molto facile|Basso|Senza lattosio; |Asparagi; Pasta Sfoglia; Prosciutto crudo; Grana Padano DOP; Uova; 

Nugget di pollo|Facile|Basso||Petto di pollo; Pane; Cipolle bianche; Senape di Digione; Sale fino; Farina 00; Latte intero; Uova; Sale fino; Pangrattato; Olio di semi; 

Taralli|Media|Molto basso|Senza lattosio; Vegetariano; |Farina 00; Vino bianco secco; Olio extravergine d'oliva; Sale fino; 

Involtini di melanzane|Molto facile|Molto basso||Melanzane; Prosciutto cotto; Passata di pomodoro; Olio extravergine d'oliva; Sale fino; Pepe nero; Provola; Aglio; Basilico; 

Polpette di pesce|Facile|Medio|Senza lattosio; |Merluzzo; Pane; Prezzemolo; Timo; Uova; Aglio; Sale fino; Pepe nero; Parmigiano Reggiano DOP; Farina 00; Olio di semi di arachide; 

Polpette di zucchine|Molto facile|Molto basso|Vegetariano; |Zucchine; Parmigiano Reggiano DOP; Ricotta vaccina; Pangrattato; Uova; Timo; Sale fino; Pepe nero; Semola di grano duro rimacinata; Olio di semi di arachide; Fiocchi di sale; 

Pizzette rosse|Media|Basso|Vegetariano; |Acqua; Farina 00; Lievito di birra fresco; Zucchero; Olio extravergine d'oliva; Sale fino; Passata di pomodoro; Mozzarella; Sale fino; Pepe nero; Olio extravergine d'oliva; Origano; 

Torta di patate e prosciutto|Facile|Basso||Patate; Spinaci; Caciocavallo; Prosciutto cotto; Grana Padano DOP; Tuorli; Aglio; Rosmarino; Olio extravergine d'oliva; Sale fino; Pepe nero; Burro; Grana Padano DOP; 

Torta salata agli spinaci|Media|Basso|Vegetariano; |Burro; Farina 00; Acqua; Sale fino; Pepe nero; Spinaci; Cipollotto fresco; Olio extravergine d'oliva; Sale fino; Uova; Panna fresca liquida; Caciocavallo; Timo; 

Polpette di pane|Facile|Basso|Vegetariano; |Pane raffermo; Latte intero; Parmigiano Reggiano DOP; Uova; Aglio; Prezzemolo; Olio extravergine d'oliva; Sale fino; Pepe nero; Uova; Sale fino; Pangrattato; Olio di semi di girasole; 

Insalata russa|Facile|Basso|Senza glutine; Vegetariano; |Patate; Pisellini; Carote; Cetriolini sottaceto; Uova; Olio extravergine d'oliva; Sale fino; Pepe nero; Tuorli; Olio di semi di girasole; Succo di limone; Aceto di vino bianco; Sale fino; Pepe nero; 

Frittatine nella pancetta|Facile|Basso||Uova; Pancetta; Parmigiano Reggiano DOP; Panna fresca liquida; Basilico; Sale fino; Pepe nero; 

Involtini di verza|Media|Basso||Verza; Salsiccia; Patate; Valtellina Casera; Olio extravergine d'oliva; Sale fino; Pepe nero; Rosmarino; Aglio; Salvia; Burro; Aglio; 

Salvia fritta in pastella|Facile|Basso|Senza lattosio; Vegetariano; |Salvia; Farina 00; Birra; Sale fino; Olio di semi di girasole; 

Focaccia con pomodorini e origano|Facile|Molto basso|Senza lattosio; Vegetariano; |Farina 00; Farina Manitoba; Acqua; Olio extravergine d'oliva; Sale fino; Miele; Lievito di birra secco; Pomodorini ciliegino; Olio extravergine d'oliva; Origano; Sale grosso; 

Sformatini di spinaci|Facile|Basso|Vegetariano; |Spinaci; Uova; Noce moscata; Sale fino; Pinoli; Pangrattato; Olio di semi; Parmigiano Reggiano DOP; Pepe nero; Olio extravergine d'oliva; Latte intero; Latte intero; Burro; Parmigiano Reggiano DOP; Farina 00; 

Plumcake alle verdure|Facile|Medio|Vegetariano; |Uova; Farina 00; Olio di semi; Latte intero; Lievito istantaneo per preparazioni salate; Grana Padano DOP; Sale fino; Pepe nero; Zucchine; Carote; Pisellini; Scamorza (provola); Olive taggiasche; Peperoni; 

Caponata|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Melanzane; Sedano; Cipolle bianche; Pomodori ramati; Olive verdi in salamoia; Capperi sotto sale; Pinoli; Zucchero; Aceto di vino bianco; Basilico; Concentrato di pomodoro; Olio extravergine d'oliva; Sale fino; Olio extravergine d'oliva; 

Polpette di zucchine e patate|Facile|Basso|Senza lattosio; Vegetariano; |Patate; Zucchine; Sale fino; Pepe nero; Farina 00; Uova; Pangrattato; Erba cipollina; Olio di semi; 

Torta salata ai carciofi|Facile|Basso||Carciofi; Acciughe (alici); Provola affumicata; Cipolle dorate; Uova; Latte intero; Grana Padano DOP; Olio extravergine d'oliva; Vino bianco; Aglio; Prezzemolo; Sale fino; Pepe nero; Farina 00; Acqua; Burro; Sale fino; 

Mozzarella in carrozza al forno|Facile|Basso|Vegetariano; |Mozzarella; Uova; Sale fino; Pepe nero; Pancarra; Latte intero; Pangrattato; 

Zucchine a scapece|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Zucchine; Olio extravergine d'oliva; Aceto di vino bianco; Aglio; Menta; Sale fino; Pepe nero; Olio di semi; 

Cozze alla tarantina|Molto facile|Basso|Senza lattosio; |Cozze; Polpa di pomodoro; Aglio; Peperoncino fresco; Vino bianco; Olio extravergine d'oliva; Pepe nero; Sale fino; Prezzemolo; Pane; 

Alici marinate|Molto facile||Senza glutine; Senza lattosio; |Acciughe (alici); Aglio; Succo di limone; Prezzemolo; Olio extravergine d'oliva; Pepe nero; Aceto di vino bianco; Sale fino; 

Melanzane alla sarda|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Melanzane; Pomodori ramati; Prezzemolo; 

Tomino in crosta di sfoglia|Molto facile|Basso||Tomini; Pasta Sfoglia; Prosciutto cotto; Timo; Pepe nero; Tuorli; Panna fresca liquida; 

Pizza di scarola|Media|Medio|Senza lattosio; |Farina 0; Acqua; Lievito di birra fresco; Sale fino; Scarola (indivia); Olive di Gaeta; Capperi sotto sale; Acciughe sott'olio; Olio extravergine d'oliva; Olio extravergine d'oliva; 

Capesante gratinate|Molto facile|Medio|Senza lattosio; |Capesante; Pane; Pepe nero; Sale fino; Olio extravergine d'oliva; Scorza di limone; Prezzemolo; Timo; Maggiorana; 

Parigina|Media|Medio||Farina 0; Acqua; Olio extravergine d'oliva; Sale fino; Lievito di birra fresco; Zucchero; Pomodori pelati; Prosciutto cotto; Caciocavallo; Pasta Sfoglia; Panna fresca liquida; Tuorli; Olio extravergine d'oliva; 

Sauta di cozze e vongole|Media|Medio|Senza glutine; Senza lattosio; Light; |Cozze; Vongole; Aglio; Olio extravergine d'oliva; Pepe nero; Pomodorini ciliegino; Prezzemolo; 

Polpette di ceci|Facile|Molto basso|Vegetariano; |Ceci precotti; Pane bianco in cassetta; Grana Padano DOP; Uova; Concentrato di pomodoro; Senape; Aglio in polvere; Sale fino; Pepe nero; Prezzemolo; Scamorza (provola); Uova; Pangrattato; Prezzemolo; Pepe nero; Sale fino; Olio di semi di arachide; 

Crescentine o tigelle|Molto facile|Molto basso||Farina 0; Farina 00; Latte intero; Acqua; Strutto; Olio extravergine d'oliva; Lievito di birra secco; Sale fino; 

Anelli di calamari al forno|Facile|Basso|Senza lattosio; |Calamari; Pangrattato; Paprika dolce; Olio extravergine d'oliva; Sale fino; 

Pomodorini confit|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Pomodorini ciliegino; Aglio; Zucchero; Timo; Olio extravergine d'oliva; Origano; Sale fino; Pepe nero; 

Gnocco fritto|Media|Basso||Farina 0; Farina 1; Latte intero; Acqua; Strutto; Lievito di birra fresco; Zucchero; Sale fino; Strutto; 

Torta salata di verdure|Facile|Basso|Vegetariano; |Pasta Sfoglia; Zucchine; Carote; Sale fino; Olio extravergine d'oliva; Latte intero; Farina 00; Burro; Noce moscata; Parmigiano Reggiano DOP; Uova; Sale fino; 

Sformato di zucchine|Media|Medio|Vegetariano; |Zucchine; Uova; Ricotta vaccina; Pecorino; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Timo; Latte intero; Burro; Panna fresca liquida; Tuorli; Farina 00; Asiago; Sale fino; 

Tortillas di farina|Facile|Molto basso|Senza lattosio; Vegetariano; Light; |Farina 00; Acqua; Olio di semi di arachide; Sale fino; 

Sbriciolata di patate|Media|Medio||Patate rosse; Mozzarella di bufala; Pancetta arrotolata; Uova; Parmigiano Reggiano DOP; Amido di mais (maizena) senza glutine; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Uova in camicia|Media|Basso|Senza lattosio; Vegetariano; Senza glutine; Light; |Uova; Aceto di vino bianco; Sale grosso; 

Polpette di zucca|Facile|Basso|Vegetariano; |Zucca; Pangrattato; Parmigiano Reggiano DOP; Scamorza affumicata; Uova; Salvia; Olio extravergine d'oliva; Sale fino; Pepe nero; Pangrattato; Olio di semi; 

Falafel di ceci (Felafel)|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Ceci secchi; Cipolle; Aglio; Prezzemolo; Cumino; Sale fino; Pepe nero; Olio di semi di arachide; 

Cipolle di Tropea caramellate|Facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Cipolle rosse di Tropea; Zucchero; Zucchero di canna; Acqua; 

Pastella per fritti|Facile||Vegetariano; |Uova; Farina 00; Latte intero; Sale fino; 

Pizzelle fritte|Difficile|Medio|Vegetariano; Senza lattosio; |Farina 0; Acqua; Lievito di birra fresco; Sale fino; Pomodori pelati; Basilico; Origano; Sale fino; Aglio; Olio extravergine d'oliva; Grana Padano DOP; Olio di semi di arachide; 

Pizza muffin|Facile|Basso|Vegetariano; |Acqua; Farina 00; Sale fino; Lievito istantaneo per preparazioni salate; Mozzarella; Passata di pomodoro; Olio extravergine d'oliva; Origano; 

Teste di champignon ripieni|Facile|Medio|Vegetariano; Senza lattosio; |Funghi champignon; Aglio; Olio extravergine d'oliva; Prezzemolo; Pane; Grana Padano DOP; Brodo vegetale; Sale fino; Pepe nero; 

Tartare di salmone con crema di avocado e mandorle tostate|Media||Senza lattosio; |Filetto di salmone; Zenzero fresco; Scorza di lime; Sale fino; Pepe nero; Tabascoa; Erba cipollina; Aceto di riso; Mandorle in scaglie; Avocado; Succo di lime; Sale fino; Pepe nero; Pomodori piccadilly; 

Tramezzini|Facile|||Edamer; Pane per tramezzini; Olive nere; Insalata riccia; Pomodori ramati; Prosciutto cotto; Maionese; Capperi; Insalata riccia; Pomodori ramati; Olive verdi; Pane per tramezzini; Tonno sott'olio; Maionese; Pane per tramezzini; Edamer; Pomodori ramati; Insalata riccia; Uova; Cetriolini sottaceto; Maionese; Uova di lompo (succedaneo caviale); Uova; Insalata riccia; Pomodori ramati; Pane per tramezzini; Salmone affumicato; Maionese; 

Mini calzoni al forno|Media|Basso||Acqua; Farina 0; Lievito di birra fresco; Sale fino; Zucchero; Olio extravergine d'oliva; Passata di pomodoro; Mozzarella; Prosciutto cotto; Sale fino; Olio extravergine d'oliva; Mozzarella; Zucchine; Peperoni rossi; Melanzane; Carote; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Cocktail di gamberetti|Facile|Elevato||Gamberetti; Lattuga iceberg; Limoni; Tuorli; Olio di semi di girasole; Succo di limone; Sale fino; Pepe nero; Ketchup; Salsa Worcestershire; Tabascoa; Brandy; 

Polipetti Affogati|Molto facile|Medio|Senza glutine; Senza lattosio; |Polpetti; Pomodori pelati; Peperoncino; Aglio; Prezzemolo; Vino bianco; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Feta al forno|Molto facile|Basso|Senza glutine; Vegetariano; |Feta; Pomodori ramati; Cipolle rosse; Olive nere; Origano; Olio extravergine d'oliva; Sale fino; 

Rustici leccesi|Facile|Molto basso|Vegetariano; |Pasta Sfoglia; Passata di pomodoro; Mozzarella; Olio extravergine d'oliva; Sale fino; Latte intero; Farina 00; Burro; Sale fino; Pepe nero; Noce moscata; Uova; 

Frittata di zucchine|Molto facile|Molto basso|Senza glutine; Vegetariano; Senza lattosio; |Uova; Noce moscata; Grana Padano DOP; Zucchine; Olio extravergine d'oliva; Aglio; Sale fino; Pepe nero; Zucchine; Olio extravergine d'oliva; Menta; Sale fino; Pepe nero; 

Frittelle croccanti di patate|Facile|Molto basso|Senza lattosio; Vegetariano; |Patate; Farina 00; Rosmarino; Sale fino; Pepe nero; Olio di oliva; 

Baccala mantecato alla veneziana|Facile|Elevato|Senza glutine; Senza lattosio; |Stoccafisso; Olio di semi di girasole; Alloro; Sale fino; Pepe nero; Prezzemolo; Pepe nero; 

Fiori di zucca al forno|Facile|Basso||Fiori di zucca; Ricotta vaccina; Nduja; Stracciatella; Origano; Sale fino; Olio extravergine d'oliva; Pangrattato; Pecorino; 

Schiacciata di zucchine|Molto facile|Molto basso|Vegetariano; |Zucchine; Edamer; Fecola di patate; Parmigiano Reggiano DOP; Uova; Sale fino; Pepe nero; Olio extravergine d'oliva; Pangrattato; 

Rotolo di mozzarella farcito|Molto facile|Molto basso||Mozzarella; Prosciutto crudo; Pomodori ramati; Rucola; Acqua; Sale fino; 

Carpaccio di polpo|Media|Medio|Senza glutine; Senza lattosio; |Polpo; Carote; Cipolle; Bacche di ginepro; Pepe nero in grani; Sale fino; Sedano; Alloro; Succo di limone; Sale fino; Olio extravergine d'oliva; Aglio; Prezzemolo; 

Pasta brisa|Facile||Vegetariano; |Burro; Farina 00; Acqua; Sale fino; 

Mozzarella fritta|Molto facile|Basso|Vegetariano; |Mozzarella; Uova; Latte intero; Farina 00; Pangrattato; Pepe nero; Sale fino; Olio di semi di arachide; 

Ravioli di carne giapponesi (Gyoza)|Difficile|Medio||Acqua; Farina 00; Sale; Maiale; Cipollotto fresco; Cicoria; Aglio; Salsa di soia; Tuorli; Olio di semi; Acqua; Salsa di soia; Zenzero fresco; Tabascoa; 

Carciofi alla giudia|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Carciofi mammole; Olio di semi; Sale fino; 

Frittata|Facile|Basso|Senza glutine; Vegetariano; |Uova; Pecorino; Parmigiano Reggiano DOP; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Uova sode|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; Light; |Uova; 

Suppla al telefono|Media|Medio||Riso; Carne bovina; Fegatini di pollo; Mozzarella; Funghi secchi; Uova; Passata di pomodoro; Brodo di carne; Grana Padano DOP; Cipolle; Burro; Vino bianco; Olio extravergine d'oliva; Sale fino; Pepe nero; Pangrattato; Uova; Olio di semi di arachide; 

Gamberi alla catalana|Molto facile|Basso|Senza glutine; Senza lattosio; |Gamberi; Rucola; Cipolle rosse; Pomodorini ciliegino; Aceto di vino bianco; Olio extravergine d'oliva; Basilico; Sale fino; 

Quiche al salmone con asparagi e porri|Facile|Medio||Salmone affumicato; Asparagi; Porri; Panna fresca liquida; Burro; Olio extravergine d'oliva; Sale fino; Pepe nero; Latte intero; Farina 00; Burro; Noce moscata; Sale fino; Latte intero; Tuorli; Farina 00; Burro; Acqua; Sale fino; 

Fagottini di porri, salmone e robiola|Media|Medio||Uova; Latte; Farina 00; Burro; Sale fino; Porri; Robiola; Salmone; Grana Padano DOP; Noce moscata; Pepe; Latte; Sale fino; Timo; Aglio; 

Fiori di zucca ripieni di speck e mozzarella|Media|Medio||Fiori di zucca; Speck; Mozzarella; Zucchine; Ricotta; Uova; Cipollotto fresco; Grana Padano DOP; Olio extravergine d'oliva; Sale fino; Pepe nero; Timo; 

Flan di asparagi|Facile|Medio|Senza glutine; Vegetariano; |Asparagi; Panna fresca liquida; Albumi; Pecorino; Cipollotto fresco; Sale fino; Pepe nero; Burro; 

Flan di spinaci e taleggio|Facile|Molto basso|Senza glutine; Vegetariano; |Spinaci; Grana Padano DOP; Pinoli; Uova; Latte intero; Noce moscata; Sale fino; Pepe nero; Olio extravergine d'oliva; Taleggio; Latte intero; 

Pizzette di zucchine|Facile|Basso|Senza glutine; Vegetariano; |Zucchine tonde; Fiordilatte; Passata di pomodoro; Origano; Sale fino; Pepe nero; Olio extravergine d'oliva; Menta; 

Bastoncini di pasta sfoglia al formaggio|Molto facile|Molto basso|Vegetariano; |Pasta Sfoglia; Semi di papavero; Semi di papavero; Grana Padano DOP; Uova; Paprika; Sale fino; Latte intero; 

Carpaccio di melanzane|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Melanzane; Olio extravergine d'oliva; Succo di limone; Menta; Basilico; Aglio; Sale fino; Pepe nero; 

Frollini al Parmigiano|Facile|Basso|Vegetariano; Senza lattosio; |Parmigiano Reggiano DOP; Farina 00; Burro salato; Sale fino; Pepe nero; Albumi; Pinoli; Cumino; Sale affumicato; Pepe di Sichuan; 

Spiedini di gamberi|Facile|Medio|Senza lattosio; |Gamberetti; Olio extravergine d'oliva; Zucchine; Carote; Farina 00; Sale fino; Pepe nero; Vino bianco; 

Torta di zucchine e i suoi fiori|Facile|Basso|Vegetariano; |Zucchine baby; Mozzarella; Pangrattato; Pasta Sfoglia; Grana Padano DOP; Aglio; Prezzemolo; Olio extravergine d'oliva; Burro; Sale fino; Pepe nero; 

Insalata di mare|Media|Elevato|Senza glutine; Senza lattosio; |Cozze; Vongole; Polpo; Gamberi; Calamari; Carote; Sedano; Aglio; Alloro; Prezzemolo; Pepe nero in grani; Sale grosso; Succo di limone; Olio extravergine d'oliva; Prezzemolo; Sale fino; Pepe nero; 

Crostini rustici di polenta|Molto facile|Basso||Polenta istantanea; Acqua; Olio extravergine d'oliva; Sale fino; Salamella; Stracchino; Olio extravergine d'oliva; Cavolo nero; Funghi champignon; Toma; Nocciole; Burro; Aglio; Timo; Sale fino; Olio extravergine d'oliva; Spinaci; Roquefort; Melagrana; Aglio; Sale fino; Olio extravergine d'oliva; 

Panelle|Media|Basso|Senza lattosio; Vegetariano; |Farina di ceci; Acqua; Sale fino; Prezzemolo; Olio di semi; Pane; 

Corn dog|Molto facile|Basso||Wurstel; Farina 00; Farina di mais; Farina 00; Uova; Latte intero; Bicarbonato; Zucchero; Paprika dolce; Sale fino; Olio di semi; 

Girelle al prosciutto cotto e rucola|Molto facile||Pane; Prosciutto cotto; Robiola; Rucola; Latte intero; Sale fino; Pepe nero; 

Tortino di patate|Molto facile|Basso||Patate; Salmone affumicato; Aglio; Uova; Erba cipollina; Prezzemolo; Rosmarino; Salvia; Burro; Pangrattato; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Panettone gastronomico|Difficile|Medio||Farina Manitoba; Latte intero; Lievito di birra secco; Farina 0; Latte intero; Burro; Zucchero; Uova; Tuorli; Lievito di birra secco; Sale fino; Malto; Formaggio fresco spalmabile; Panna fresca liquida; Sale fino; Pepe nero; Erba cipollina; Salmone affumicato; Asparagi; Robiola; Sale fino; Pepe nero; Caprino; Concentrato di pomodoro; Panna fresca liquida; Radicchio; Prosciutto cotto; Pepe nero; Sale fino; Gamberi; Erba cipollina; Salsa cocktail; 

Bocconcini di patate formaggio e pancetta|Molto facile|Basso||Patate novelle; Pancetta affumicata; Emmentaler; Olio extravergine d'oliva; 

Croque monsieur|Molto facile|Basso||Pancarra; Groviera; Prosciutto cotto; Burro; Latte intero; Farina 00; Burro; Sale; Noce moscata; 

Chips di patate|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Sale fino; Olio di semi di arachide; 

Pomodori ripieni di tonno|Facile|Basso|Senza glutine; |Pomodori ramati; Tonno sott'olio; Uova; Capperi sott'aceto; Acciughe (alici); Timo; Sale fino; Pepe nero; Tuorli; Succo di limone; Olio di semi; Aceto di vino bianco; Sale fino; Pepe nero; 

Vitello tonnato alla maniera antica|Difficile|Medio||Vitello; Aglio; Sale fino; Pepe nero; Vino bianco; Latte intero; Tonno sott'olio; Acciughe sott'olio; Capperi; Uova sode; Marsala; Brodo vegetale; Olio extravergine d'oliva; 

Cotolette di melanzane|Molto facile|Basso|Vegetariano; |Melanzane; Sale grosso; Uova; Pangrattato; Sale fino; Farina di ceci; Acqua; Pangrattato; Farina di mais fioretto; Pepe nero; Sale fino; Uova; Pangrattato; Pecorino; Paprika affumicata; Pepe nero; Olio di semi; 

Grissini|Media|Medio|Senza lattosio; Vegetariano; |Farina 00; Acqua; Lievito di birra fresco; Sale fino; Zucchero; Olio extravergine d'oliva; 

Rotolini di zucchina in sfoglia|Molto facile|Molto basso|Vegetariano; |Zucchine tonde; Scamorza (provola); Pasta Sfoglia; Sale fino; Pepe nero; Albumi; 

Muffin agli asparagi|Facile|Medio|Vegetariano; |Asparagi; Farina 00; Yogurt greco; Latte intero; Uova; Pecorino romano; Olio extravergine d'oliva; Lievito istantaneo per preparazioni salate; Sale fino; Pepe nero; Basilico; 

Torta 5 minuti salata|Molto facile|Medio||Farina di mandorle; Farina 00; Latte intero; Prosciutto cotto; Scamorza (provola); Pomodori secchi sott'olio; Uova; Lievito istantaneo per preparazioni salate; Sale fino; Pepe nero; 

